Disease,Description
vitreous hemorrhage,"Vitreous hemorrhage is a condition that occurs when blood leaks into the clear jelly-like fluid (vitreous) that fills the center of your eye. It can be caused by an injury, eye surgery, or disease. Symptoms include blurred vision, floaters"
social phobia,"Social phobia, also known as social anxiety disorder, is a type of anxiety disorder characterized by an extreme and persistent fear of social situations in which the person may be judged or evaluated by others. Individuals with social phobia often experience intense anxiety and fear in social situations, such as public speaking,"
viral exanthem,"Viral exanthem is a type of rash that can be caused by a variety of viral infections, such as chickenpox, measles, rubella, and roseola. The rash may include small, red spots that can appear anywhere on the body, including the face, scalp,"
sepsis,"Sepsis is a potentially life-threatening condition where the body reacts strongly to an infection. This can affect any part of the body and cause organ failure. The most common source of sepsis is the lungs, followed by the urinary tract and gut."
spina bifida,"Spina bifida is a congenital defect in which the spine or spinal cord fails to form properly during fetal development. This defect can result in a variety of abnormalities, including a small hole in the spine (meningocele) or a large gaping opening in the spine (my"
soft tissue sarcoma,"A hemangioma is a benign tumor that is composed of blood vessels. It usually occurs on the skin, but it can also form in other parts of the body. Hemangiomas are the most common tumors of the skin in infants and children and typically resolve by adulthood."
thoracic outlet syndrome,"Thoracic outlet syndrome is a condition that occurs when a bundle of nerves or blood vessels in the space between your collarbone and your first rib (thoracic outlet) is compressed or damaged. It can lead to pain, numbness, and weakness in your shoulders and arms."
chalazion,"Chalazion is a small lump that forms in the eyelid, caused by an obstruction of an oil gland in the eyelid. These glands, called meibomian glands, produce an oily substance that helps keep the surface of the eye moist. Chalazion"
dislocation of the shoulder,"Dislocation of the shoulder occurs when the ball of the upper arm bone pops out of the shoulder socket. It can happen as a result of a fall, a hard impact to the shoulder, or a sudden forceful muscle movement. Symptoms include pain, swelling, and difficulty moving the arm. Treatment"
injury to the shoulder,"Injury to the shoulder is a common condition that can occur as a result of various activities, such as sports, lifting heavy objects, or falls. Symptoms of a shoulder injury can include pain, swelling, and limited range of motion in the shoulder joint. Causes of shoulder injuries can include overuse"
pemphigus,Pemphigus is an autoimmune skin disease in which the body's own immune system attacks the cells that hold the outer layer of skin together. This results in painful blisters that can lead to serious infections and hospitalization if not treated promptly. Symptoms of pemphigus include
colorectal cancer,"Colorectal cancer, also known as bowel cancer, colon cancer, or rectal cancer, is cancer that starts in the large bowel, which is the last 5 feet of your digestive tract. It is the second-leading cause of cancer-related deaths in the US. After age 5"
persistent vomiting of unknown cause,"Persistent vomiting of unknown cause, also known as recurrent vomiting, is characterized by the recurrent experience of vomiting without any known cause. It is a condition that can affect people of all ages, but is more commonly seen in children."
osteomyelitis,"Osteomyelitis is an infection of the bone caused by bacteria or fungi. It can be acute (occurring suddenly) or chronic (a long-term problem). Acute osteomyelitis is often caused by an injury, such as a puncture wound or a broken bone. Ch"
injury to the abdomen,"Injury to the abdomen is a condition that occurs when the abdominal area of the body is damaged or harmed. This area includes the stomach, intestines, liver, spleen, pancreas, and other organs. Injury to the abdomen can be caused"
urethritis,"Urethritis is an inflammation of the urethra, the tube that carries urine from the bladder to the outside of the body. It is a common condition that can affect both men and women."
hiatal hernia,"Hiatal hernia is a condition in which the upper part of the stomach bulges up into the chest through a small opening in the diaphragm. This opening, known as the hiatus, is where the esophagus passes through the diaphragm to connect with the stomach. The"
